   Variables = "r [m]", "chord [m]", "twist [deg]", "total rake [m]", "skew [deg]"	Twist ref. is located at mid chord. Blade section: NACA4412 airfoil which params are rebuilt from CAD planar sections
   9.0000000e-03   1.0174790e-02   3.8066434e+01   4.8251748e-05  -3.4806294e+00
   1.1040816e-02   1.1850344e-02   4.0447791e+01   8.6764256e-05  -3.4045517e+00
   1.3081633e-02   1.3162700e-02   4.2122807e+01   1.2514085e-04  -3.3275757e+00
   1.5122449e-02   1.4167062e-02   4.3184194e+01   1.6338152e-04  -3.2505098e+00
   1.7163265e-02   1.4913918e-02   4.3717519e+01   2.0148627e-04  -3.1740942e+00
   1.9204082e-02   1.5449213e-02   4.3801466e+01   2.3945510e-04  -3.0990016e+00
   2.1244898e-02   1.5814513e-02   4.3508092e+01   2.7728802e-04  -3.0258364e+00
   2.3285714e-02   1.6047170e-02   4.2903089e+01   3.1498501e-04  -2.9551351e+00
   2.5326531e-02   1.6180495e-02   4.2046038e+01   3.5254609e-04  -2.8873666e+00
   2.7367347e-02   1.6243920e-02   4.0990674e+01   3.8997125e-04  -2.8229315e+00
   2.9408163e-02   1.6263166e-02   3.9785139e+01   4.2726049e-04  -2.7621625e+00
   3.1448980e-02   1.6260412e-02   3.8472243e+01   4.6441382e-04  -2.7053247e+00
   3.3489796e-02   1.6254461e-02   3.7089724e+01   5.0143122e-04  -2.6526149e+00
   3.5530612e-02   1.6260905e-02   3.5670502e+01   5.3831271e-04  -2.6041621e+00
   3.7571429e-02   1.6292296e-02   3.4242944e+01   5.7505828e-04  -2.5600275e+00
   3.9612245e-02   1.6358311e-02   3.2831120e+01   6.1166792e-04  -2.5202042e+00
   4.1653061e-02   1.6465917e-02   3.1455060e+01   6.4814165e-04  -2.4846173e+00
   4.3693878e-02   1.6619542e-02   3.0131013e+01   6.8447947e-04  -2.4531243e+00
   4.5734694e-02   1.6821240e-02   2.8871709e+01   7.2068136e-04  -2.4255143e+00
   4.7775510e-02   1.7070857e-02   2.7686616e+01   7.5674733e-04  -2.4015090e+00
   4.9816327e-02   1.7366202e-02   2.6582195e+01   7.9267739e-04  -2.3807617e+00
   5.1857143e-02   1.7703209e-02   2.5562164e+01   8.2847153e-04  -2.3628580e+00
   5.3897959e-02   1.8076108e-02   2.4627756e+01   8.6412975e-04  -2.3473156e+00
   5.5938776e-02   1.8477589e-02   2.3777973e+01   8.9965205e-04  -2.3335842e+00
   5.7979592e-02   1.8898971e-02   2.3009851e+01   9.3503843e-04  -2.3210455e+00
   6.0020408e-02   1.9330371e-02   2.2318714e+01   9.7028889e-04  -2.3090134e+00
   6.2061224e-02   1.9760866e-02   2.1698435e+01   1.0054034e-03  -2.2967337e+00
   6.4102041e-02   2.0178663e-02   2.1141694e+01   1.0403821e-03  -2.2833846e+00
   6.6142857e-02   2.0571268e-02   2.0640237e+01   1.0752248e-03  -2.2680759e+00
   6.8183673e-02   2.0925650e-02   2.0185134e+01   1.1099316e-03  -2.2498499e+00
   7.0224490e-02   2.1228407e-02   1.9767038e+01   1.1445024e-03  -2.2276807e+00
   7.2265306e-02   2.1465938e-02   1.9376446e+01   1.1789374e-03  -2.2004746e+00
   7.4306122e-02   2.1624605e-02   1.9003954e+01   1.2132364e-03  -2.1670699e+00
   7.6346939e-02   2.1690905e-02   1.8640517e+01   1.2473995e-03  -2.1262369e+00
   7.8387755e-02   2.1651631e-02   1.8277708e+01   1.2814267e-03  -2.0766782e+00
   8.0428571e-02   2.1494045e-02   1.7907979e+01   1.3153180e-03  -2.0170283e+00
   8.2469388e-02   2.1206040e-02   1.7524914e+01   1.3490734e-03  -1.9458538e+00
   8.4510204e-02   2.0776311e-02   1.7123493e+01   1.3826928e-03  -1.8616534e+00
   8.6551020e-02   2.0194522e-02   1.6700350e+01   1.4161763e-03  -1.7628577e+00
   8.8591837e-02   1.9451468e-02   1.6254029e+01   1.4495239e-03  -1.6478296e+00
   9.0632653e-02   1.8539249e-02   1.5785243e+01   1.4827356e-03  -1.5148640e+00
   9.2673469e-02   1.7451432e-02   1.5297137e+01   1.5158114e-03  -1.3621879e+00
   9.4714286e-02   1.6183220e-02   1.4795542e+01   1.5487512e-03  -1.1879601e+00
   9.6755102e-02   1.4731621e-02   1.4289235e+01   1.5815552e-03  -9.9027192e-01
   9.8795918e-02   1.3095609e-02   1.3790199e+01   1.6142232e-03  -7.6714639e-01
   1.0083673e-01   1.1276298e-02   1.3313880e+01   1.6467553e-03  -5.1653874e-01
   1.0287755e-01   9.2771053e-03   1.2879447e+01   1.6791515e-03  -2.3633629e-01
   1.0491837e-01   7.1039199e-03   1.2510049e+01   1.7114117e-03   7.5641621e-02
   1.0695918e-01   4.7652683e-03   1.2233078e+01   1.7435361e-03   4.2164355e-01
   1.0900000e-01   2.2724825e-03   1.2080420e+01   1.7755245e-03   8.0398601e-01
